vocabularyID	prefLabel	altLabel	note	definition	broader	narrower	related	broadMatch	narrowMatch	relatedMatch	closeMatch	exactMatch	seeAlso	isDefinedBy	sameAs	contributors	internalID
8dec8019-7295-4928-95dc-16a4fb321704	human skeleton;en;Menschliches Skelett;de		A human skeleton is the internal framework of the human body;en									http://0-id.worldcat.org.patris.apu.edu/fast/1119932;http://www.yso.fi/onto/mesh/D012863			http://en.wikipedia.org/wiki/Human_skeleton;http://lod.nal.usda.gov/nalt/53793		1
8dec8019-7295-4928-95dc-16a4fb321704	cranium;en;Schädel;de	Skull;en;Cranium;de	Bony structure, the head in the skeleton, which supports the structures of the face and forms a cavity for the brain;en		1		3					http://0-id.worldcat.org.patris.apu.edu/fast/1120222;http://www.yso.fi/onto/mesh/D012886;http://aims.fao.org/aos/agrovoc/c_7104;http://data.bnf.fr/11944099/crane;http://lod.nal.usda.gov/nalt/18548			http://dbpedia.org/resource/Skull		2
8dec8019-7295-4928-95dc-16a4fb321704	mandible;en;Kiefer;de	Jawbone;en;Mandibel;de	In vertebrates, the mandible, lower jaw or jawbone is a bone forming the skull with the cranium;en		1		2					http://0-id.worldcat.org.patris.apu.edu/fast/1007477;http://www.yso.fi/onto/mesh/D008334;http://lod.nal.usda.gov/nalt/48092			http://dbpedia.org/resource/Mandible		3
8dec8019-7295-4928-95dc-16a4fb321704	sternum;en;Brustbein;de	Breastbone;en;Sternum;de	A long flat bony plate shaped like a necktie located anteriorly to the heart in the center of the thorax (chest);en		1							http://0-id.worldcat.org.patris.apu.edu/fast/1133250;http://www.yso.fi/onto/mesh/D013249;http://aims.fao.org/aos/agrovoc/c_7404;http://lod.nal.usda.gov/nalt/18550			http://dbpedia.org/resource/Sternum		4
8dec8019-7295-4928-95dc-16a4fb321704	clavicle;en;Schlüsselbein;de	Collarbone;en;Clavicula;de	A long bone that serves as a strut between the scapula and the sternum;en		1		6			http://lod.nal.usda.gov/nalt/26726		http://0-id.worldcat.org.patris.apu.edu/fast/863807;http://www.yso.fi/onto/mesh/D002968			http://dbpedia.org/resource/Clavicle		5
8dec8019-7295-4928-95dc-16a4fb321704	scapula;en;Schulterblatt;de	Shoulder blade;en	The bone that connects the humerus (upper arm bone) with the clavicle (collar bone);en		1		5					http://0-id.worldcat.org.patris.apu.edu/fast/1106523;http://www.yso.fi/onto/mesh/D012540;http://aims.fao.org/aos/agrovoc/c_14111;http://lod.nal.usda.gov/nalt/18546			http://dbpedia.org/resource/Scapula		6
8dec8019-7295-4928-95dc-16a4fb321704	rib;en;Rippe;de		Ribs (Latin: costae) are the long curved bones which form the rib cage;en		1							http://0-id.worldcat.org.patris.apu.edu/fast/1097322;http://www.yso.fi/onto/mesh/D012272;http://aims.fao.org/aos/agrovoc/c_6598;http://lod.nal.usda.gov/nalt/18545			http://dbpedia.org/resource/Rib		7
8dec8019-7295-4928-95dc-16a4fb321704	humerus;en;Oberarmknochen;de	Humerus;de	A long bone in the arm or forelimb that runs from the shoulder to the elbow;en		1							http://0-id.worldcat.org.patris.apu.edu/fast/963674;http://www.yso.fi/onto/mesh/D006811;http://aims.fao.org/aos/agrovoc/c_11637;http://lod.nal.usda.gov/nalt/46140			http://dbpedia.org/resource/Humerus		8
8dec8019-7295-4928-95dc-16a4fb321704	ulna;en;Elle;de	Elbow bone;en;Ulna;de	One of the two long bones in the forearm, the other being the radius;en		1		10					http://0-id.worldcat.org.patris.apu.edu/fast/1160633;http://www.yso.fi/onto/mesh/D014457;http://aims.fao.org/aos/agrovoc/c_15073;http://lod.nal.usda.gov/nalt/50168			http://dbpedia.org/resource/Ulna		9
8dec8019-7295-4928-95dc-16a4fb321704	radius;en;Speiche;de	Radius;de	One of the two long bones in the forearm, the other being the ulna;en		1		9					http://0-id.worldcat.org.patris.apu.edu/fast/1088393;http://www.yso.fi/onto/mesh/D011884;http://aims.fao.org/aos/agrovoc/c_13736;http://lod.nal.usda.gov/nalt/50166			http://dbpedia.org/resource/Radius_%28bone%29		10
8dec8019-7295-4928-95dc-16a4fb321704	pelvis;en;Becken;de		The skeleton embedded in the lower part of the trunk, between the abdomen and the thighs;en		1							http://0-id.worldcat.org.patris.apu.edu/fast/1056734;http://www.yso.fi/onto/mesh/D010388;http://aims.fao.org/aos/agrovoc/c_5666;http://lod.nal.usda.gov/nalt/18543			http://dbpedia.org/resource/Pelvis		11
8dec8019-7295-4928-95dc-16a4fb321704	femur;en;Oberschenkelknochen;de	Femur;de	The most proximal (closest to the center of the body) bone of the leg;en		1							http://0-id.worldcat.org.patris.apu.edu/fast/922853;http://www.yso.fi/onto/mesh/D005269;http://aims.fao.org/aos/agrovoc/c_10785;http://lod.nal.usda.gov/nalt/39808			http://dbpedia.org/resource/Femur		12
8dec8019-7295-4928-95dc-16a4fb321704	tibia;en;Schienbein;de	Shinbone;en;Tibia;de	The larger and stronger of the two bones in the leg below the knee in vertebrates;en		1		14					http://0-id.worldcat.org.patris.apu.edu/fast/1150708;http://www.yso.fi/onto/mesh/D013977;http://aims.fao.org/aos/agrovoc/c_14885;http://lod.nal.usda.gov/nalt/50167			http://dbpedia.org/resource/Tibia		13
8dec8019-7295-4928-95dc-16a4fb321704	fibula;en;Wadenbein;de	Calf bone;en;Fibula;de	A leg bone located on the lateral side of the tibia, with which it is connected above and below;en		1		13					http://0-id.worldcat.org.patris.apu.edu/fast/923702;http://www.yso.fi/onto/mesh/D005360;http://aims.fao.org/aos/agrovoc/c_10829;http://lod.nal.usda.gov/nalt/40079			http://dbpedia.org/resource/Fibula		14
