vocabularyID	prefLabel	altLabel	note	definition	broader	narrower	related	broadMatch	narrowMatch	relatedMatch	closeMatch	exactMatch	seeAlso	isDefinedBy	sameAs	contributor	internalID
b6e86a08-0b31-485c-8889-8380c7a83aa9	Linear Pottery Culture;en;Linearbandkeramik;de	LBK;de						http://vocab.getty.edu/aat/300019332				http://vocab.getty.edu/aat/300107826					1
b6e86a08-0b31-485c-8889-8380c7a83aa9	earliest linear pottery culture;en;älteste linearbandkeramik;de	äLBK;de		Earliest linear pottery culture phase as described by Meier-Arendt (1966);en	1			http://vocab.getty.edu/aat/300107826									2
b6e86a08-0b31-485c-8889-8380c7a83aa9	earlier linear pottery culture;en;ältere linearbandkeramik;de	aLBK;de		Second linear pottery culture phase as described by Meier-Arendt (1966);en	1			http://vocab.getty.edu/aat/300107826									3
b6e86a08-0b31-485c-8889-8380c7a83aa9	middle linear pottery culture;en;mittlere linearbandkeramik;de	mLBK;de		Third linear pottery culture phase as described by Meier-Arendt (1966);en	1			http://vocab.getty.edu/aat/300107826									4
b6e86a08-0b31-485c-8889-8380c7a83aa9	younger linear pottery culture;en;jüngere linearbandkeramik;de			Fourth linear pottery culture phase as described by Meier-Arendt (1966);en	1			http://vocab.getty.edu/aat/300107826									5
b6e86a08-0b31-485c-8889-8380c7a83aa9	youngest linear pottery culture;en;jüngste linearbandkeramik;de			Last linear pottery culture phase as described by Meier-Arendt (1966);en	1			http://vocab.getty.edu/aat/300107826									6
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 1 (Kneipp);en;LBK phase 1 (Kneipp);de			Linear pottery culture phase 1 as descibed by Kneipp (1998);en	2			http://vocab.getty.edu/aat/300107826									7
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 2 (Kneipp);en;LBK phase 2 (Kneipp);de			Linear pottery culture phase 2 as descibed by Kneipp (1998);en	2			http://vocab.getty.edu/aat/300107826									8
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 3 (Kneipp);en;LBK phase 3 (Kneipp);de			Linear pottery culture phase 3 as descibed by Kneipp (1998);en	3			http://vocab.getty.edu/aat/300107826									9
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 4 (Kneipp);en;LBK phase 4 (Kneipp);de			Linear pottery culture phase 4 as descibed by Kneipp (1998);en	3			http://vocab.getty.edu/aat/300107826									10
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 5 (Kneipp);en;LBK phase 5 (Kneipp);de			Linear pottery culture phase 5 as descibed by Kneipp (1998);en	3			http://vocab.getty.edu/aat/300107826									11
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 6 (Kneipp);en;LBK phase 6 (Kneipp);de			Linear pottery culture phase 6 as descibed by Kneipp (1998);en	4			http://vocab.getty.edu/aat/300107826									12
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 7 (Kneipp);en;LBK phase 7 (Kneipp);de			Linear pottery culture phase 7 as descibed by Kneipp (1998);en	5			http://vocab.getty.edu/aat/300107826									13
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 8 (Kneipp);en;LBK phase 8 (Kneipp);de			Linear pottery culture phase 8 as descibed by Kneipp (1998);en	5			http://vocab.getty.edu/aat/300107826									14
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 9 (Kneipp);en;LBK phase 9 (Kneipp;de			Linear pottery culture phase 9 as descibed by Kneipp (1998);en	5			http://vocab.getty.edu/aat/300107826									15
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 10 (Kneipp);en;LBK phase 10 (Kneipp);de			Linear pottery culture phase 10 as descibed by Kneipp (1998);en	6			http://vocab.getty.edu/aat/300107826									16
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 1 (Lindig);en;LBK Phase 1 (Lindig);de			Linear pottery culture phase 1 as descibed by Lindig (2006);en	2			http://vocab.getty.edu/aat/300107826									17
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 2 (Lindig);en;LBK Phase 2 (Lindig);de			Linear pottery culture phase 2 as descibed by Lindig (2006);en	2			http://vocab.getty.edu/aat/300107826									18
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 3 (Lindig);en;LBK Phase 3 (Lindig);de			Linear pottery culture phase 3 as descibed by Lindig (2006);en	3			http://vocab.getty.edu/aat/300107826									19
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 4 (Lindig);en;LBK Phase 4 (Lindig);de			Linear pottery culture phase 4 as descibed by Lindig (2006);en	3			http://vocab.getty.edu/aat/300107826									20
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 5 (Lindig);en;LBK Phase 5 (Lindig);de			Linear pottery culture phase 5 as descibed by Lindig (2006);en	3			http://vocab.getty.edu/aat/300107826									21
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 6 (Lindig);en;LBK Phase 6 (Lindig);de			Linear pottery culture phase 6 as descibed by Lindig (2006);en	3			http://vocab.getty.edu/aat/300107826									22
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 7 (Lindig);en;LBK Phase 7 (Lindig);de			Linear pottery culture phase 7 as descibed by Lindig (2006);en	3			http://vocab.getty.edu/aat/300107826									23
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 8 (Lindig);en;LBK Phase 8 (Lindig);de			Linear pottery culture phase 8 as descibed by Lindig (2006);en	4			http://vocab.getty.edu/aat/300107826									24
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 9 (Lindig);en;LBK Phase 9 (Lindig);de			Linear pottery culture phase 9 as descibed by Lindig (2006);en	4			http://vocab.getty.edu/aat/300107826									25
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 10 (Lindig);en;LBK Phase 10 (Lindig);de			Linear pottery culture phase 10 as descibed by Lindig (2006);en	4			http://vocab.getty.edu/aat/300107826									26
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 11 (Lindig);en;LBK Phase 11 (Lindig);de			Linear pottery culture phase 11 as descibed by Lindig (2006);en	4			http://vocab.getty.edu/aat/300107826									27
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 12 (Lindig);en;LBK Phase 12 (Lindig);de			Linear pottery culture phase 12 as descibed by Lindig (2006);en	5			http://vocab.getty.edu/aat/300107826									28
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 13 (Lindig);en;LBK Phase 13 (Lindig);de			Linear pottery culture phase 13 as descibed by Lindig (2006);en	5			http://vocab.getty.edu/aat/300107826									29
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 14 (Lindig);en;LBK Phase 14 (Lindig);de			Linear pottery culture phase 14 as descibed by Lindig (2006);en	5			http://vocab.getty.edu/aat/300107826									30
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 15 (Lindig);en;LBK Phase 15 (Lindig);de			Linear pottery culture phase 15 as descibed by Lindig (2006);en	5			http://vocab.getty.edu/aat/300107826									31
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 16 (Lindig);en;LBK Phase 16 (Lindig);de			Linear pottery culture phase 16 as descibed by Lindig (2006);en	6			http://vocab.getty.edu/aat/300107826									32
b6e86a08-0b31-485c-8889-8380c7a83aa9	LBK phase 17 (Lindig);en;LBK Phase 17 (Lindig);de			Linear pottery culture phase 17 as descibed by Lindig (2006);en	6			http://vocab.getty.edu/aat/300107826									33
